n,accuracy,nll,brier,ece_15bin,dataset,method,stratum
400,0.83,0.4039528776715388,0.12787591190416886,0.08949990909754713,promoter_alisim_dense,ensemble_k5,0.2000000029802322
400,0.7725,0.5555083167573298,0.1706593871903641,0.11380054036724407,promoter_alisim_dense,ensemble_k5,0.3000000119209289
400,0.695,0.7160793000212503,0.22420451431397712,0.16776474398170688,promoter_alisim_dense,ensemble_k5,0.4000000059604645
400,0.66,0.8537775868807269,0.2546759563210002,0.21123127137936942,promoter_alisim_dense,ensemble_k5,0.5
400,0.605,0.8424020034110724,0.27289664619788867,0.26060111447485607,promoter_alisim_dense,ensemble_k5,0.6000000238418579
400,0.5975,0.9208400799745129,0.28620740571349357,0.26393240322429457,promoter_alisim_dense,ensemble_k5,0.800000011920929
400,0.55,1.046127850649801,0.3334832862249413,0.3304882911213891,promoter_alisim_dense,ensemble_k5,1.0
400,0.5275,1.1872721083079052,0.35938048711074594,0.36587403424348935,promoter_alisim_dense,ensemble_k5,1.5
400,0.555,1.164237692130005,0.35159205216289896,0.3364136122982283,promoter_alisim_dense,ensemble_k5,2.0
400,0.535,1.163752074642013,0.35120611062296975,0.33839441084753963,promoter_alisim_dense,ensemble_k5,3.0
400,0.8875,0.2485836161296731,0.0784627802118204,0.028228921276191032,promoter_alisim_dense,ensemble_k3,0.0
400,0.8725,0.2664834154963637,0.08472281324170637,0.03652161475409013,promoter_alisim_dense,ensemble_k3,0.0099999997764825
400,0.885,0.24800872728426612,0.07808968168635186,0.03265545139590309,promoter_alisim_dense,ensemble_k3,0.0199999995529651
400,0.8775,0.26726825673835103,0.08371129050148951,0.025457521019933118,promoter_alisim_dense,ensemble_k3,0.050000000745058
400,0.8575,0.2983364418497319,0.09400943665966212,0.03401343488265551,promoter_alisim_dense,ensemble_k3,0.1000000014901161
400,0.8525,0.3394278322084005,0.1060994879063751,0.056146754985583074,promoter_alisim_dense,ensemble_k3,0.1500000059604644
400,0.82,0.4098251845964904,0.12935687744408841,0.06627885783403867,promoter_alisim_dense,ensemble_k3,0.2000000029802322
400,0.7725,0.5589805086774863,0.17281554132107232,0.12030722983649116,promoter_alisim_dense,ensemble_k3,0.3000000119209289
400,0.685,0.7281959300051927,0.23023556007480836,0.1765368572574305,promoter_alisim_dense,ensemble_k3,0.4000000059604645
400,0.65,0.8702114518015932,0.261662418062487,0.22827595811136228,promoter_alisim_dense,ensemble_k3,0.5
400,0.59,0.8717948871163773,0.284160482307181,0.2633561391640179,promoter_alisim_dense,ensemble_k3,0.6000000238418579
400,0.5825,0.9395455719887716,0.29418576826982773,0.2804327425448033,promoter_alisim_dense,ensemble_k3,0.800000011920929
400,0.545,1.05799433048851,0.3379658941421069,0.339312803448061,promoter_alisim_dense,ensemble_k3,1.0
400,0.5125,1.2056131829072945,0.3654493604064191,0.3829266587367259,promoter_alisim_dense,ensemble_k3,1.5
400,0.5375,1.1784473133494513,0.35728240153903534,0.34693438993553694,promoter_alisim_dense,ensemble_k3,2.0
400,0.525,1.1792897250474461,0.3572348271698524,0.3503264421717535,promoter_alisim_dense,ensemble_k3,3.0
