,species,genus,family,order,class,phylum,kingdom,superkingdom
3166,2934340,2907493,2236,2235,183963,28890,0,2157
3167,2935863,1858563,72275,135622,1236,1224,0,2
3168,29360,698776,3018741,186802,186801,1239,0,2
3169,29394,29393,186828,186826,91061,1239,0,2
3170,2940302,559173,33958,186826,91061,1239,0,2
3171,29405,29404,31957,85009,1760,201174,0,2
3172,2943192,265487,2691357,2691354,203683,203682,0,2
3173,2944850,2944849,0,0,2731619,2731618,2731360,10239
3174,2944914,3059504,128827,526525,526524,1239,0,2
3175,29459,234,118882,356,28211,1224,0,2
3176,29471,122277,1903410,91347,1236,1224,0,2
3177,2949635,286729,558415,1970189,200643,976,0,2
3178,2949664,2758920,2758916,588673,1497346,201174,0,2
3179,2950108,510690,510685,510684,28211,1224,0,2
3180,29510,338321,170,1643688,203692,203691,0,2
3181,2951978,2733248,11270,11157,2497574,2497569,2732396,10239
3182,2953674,2733245,11270,11157,2497574,2497569,2732396,10239
3183,2953753,2039236,1644061,1644060,183963,28890,0,2157
3184,29539,192992,320796,588674,1497346,201174,0,2
3185,29543,18,213421,69541,3031651,200940,0,2
3186,29546,41707,194924,213115,3031449,200940,0,2
3187,29549,29548,563843,1853224,1853222,1853220,0,2
3188,2955190,2946793,2946194,2942681,0,2732408,2732396,10239
3189,29552,2903106,2146,186329,31969,544448,0,2
3190,2955235,2942978,2942965,1978007,2731619,2731618,2731360,10239
3191,2955236,2946787,0,0,2731619,2731618,2731360,10239
3192,2955237,2946789,2946160,0,2731619,2731618,2731360,10239
3193,2955246,2560087,249310,2732540,2732458,2732405,2732396,10239
3194,2955263,2946790,1661063,2732549,2732505,2732408,2732396,10239
3195,2955284,2946791,39748,2732549,2732505,2732408,2732396,10239
3196,2955291,197911,11308,2499411,2497577,2497569,2732396,10239
3197,2955294,2946792,11118,76804,2732506,2732408,2732396,10239
3198,2955318,1714268,1714267,2732011,2732010,2732009,2732006,10239
3199,2955324,2946794,0,0,2731619,2731618,2731360,10239
3200,2955329,2946795,0,0,2731619,2731618,2731360,10239
3201,2955330,2946796,11270,11157,2497574,2497569,2732396,10239
3202,2955355,2946798,2946178,2732536,2732423,2732416,2732092,10239
3203,2955357,2946799,2946189,2942679,2732423,2732416,2732092,10239
3204,2955358,2946800,2946170,0,2731619,2731618,2731360,10239
3205,2955361,2946802,2501987,11157,2497574,2497569,2732396,10239
3206,2955362,2946803,2501987,11157,2497574,2497569,2732396,10239
3207,2955363,2946804,0,0,2731619,2731618,2731360,10239
3208,2955364,2946805,0,0,2731619,2731618,2731360,10239
3209,2955374,2946806,2946167,0,2731619,2731618,2731360,10239
3210,2955377,2946808,0,0,2731619,2731618,2731360,10239
3211,2955379,2946809,2946178,2732536,2732423,2732416,2732092,10239
3212,2955380,2946810,2946167,0,2731619,2731618,2731360,10239
3213,2955391,2946813,0,0,2731619,2731618,2731360,10239
3214,2955393,2946814,2946166,0,2731619,2731618,2731360,10239
3215,29554,2895509,2895623,2790996,0,544448,0,2
3216,2955410,2946816,2946166,0,2731619,2731618,2731360,10239
3217,2955413,2946818,2976944,2942676,2731619,2731618,2731360,10239
3218,2955419,2946819,0,0,2731619,2731618,2731360,10239
3219,2955426,2946820,0,0,2731619,2731618,2731360,10239
3220,2955454,2946823,1661063,2732549,2732505,2732408,2732396,10239
3221,2955457,2946824,39748,2732549,2732505,2732408,2732396,10239
3222,2955465,197912,11308,2499411,2497577,2497569,2732396,10239
3223,2955476,2946825,2560063,2732504,2732500,2732407,2732396,10239
